model,dataset,persona,layer,logit_lens_accuracy,mean_margin_correct_minus_wrong,n_questions,train_n,split_mode,split_seed,eval_n,option_token_id_mode,opt1_token_id,opt2_token_id
olmo-7b,TruthfulQA,age:22 years old,1,0.4852941176470588,-0.0051114682619478186,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,2,0.4877450980392157,-0.0002597568227964289,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,3,0.5147058823529411,0.00859192437401005,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,4,0.5147058823529411,0.010167617277771818,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,5,0.5147058823529411,0.01590849729437454,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,6,0.5147058823529411,0.018541887110354854,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,7,0.5147058823529411,0.017281233753059424,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,8,0.5147058823529411,0.020829603952520034,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,9,0.5147058823529411,0.023669816553592682,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,10,0.5147058823529411,0.020953963638520708,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,11,0.5147058823529411,0.015469551232515597,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,12,0.5147058823529411,0.010852319498856863,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,13,0.5147058823529411,0.021133553017588222,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,14,0.5147058823529411,0.019671800674176683,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,15,0.5147058823529411,0.028821485737959545,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,16,0.5147058823529411,0.0345541977268808,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,17,0.5588235294117647,0.08598831778063494,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,18,0.6740196078431373,0.26075953186727036,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,19,0.6568627450980392,0.2547597614865677,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,20,0.6593137254901961,0.2526356668448916,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,21,0.6764705882352942,0.34217305715177576,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,22,0.6911764705882353,0.3612225371248582,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,23,0.696078431372549,0.37160124235293446,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,24,0.6862745098039216,0.3600796222248498,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,25,0.6862745098039216,0.35967552303975703,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,26,0.6887254901960784,0.3639090208738458,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,27,0.6740196078431373,0.34526247713787883,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,28,0.6862745098039216,0.3641862717329287,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,29,0.6862745098039216,0.3571569430185299,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,30,0.6887254901960784,0.35787688465971573,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:22 years old,31,0.6887254901960784,0.34511902249034715,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,0,0.4852941176470588,-0.016199887821487353,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,1,0.4852941176470588,-0.005211437741915385,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,2,0.4877450980392157,-0.0003800368046059328,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,3,0.5147058823529411,0.008589430328677683,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,4,0.5147058823529411,0.010126436165734833,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,5,0.5147058823529411,0.015796706080436707,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,6,0.5147058823529411,0.018495202210603977,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,7,0.5147058823529411,0.017159688414311876,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,8,0.5147058823529411,0.020737248892877615,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,9,0.5147058823529411,0.02355433722921446,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,10,0.5147058823529411,0.020847053650547478,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,11,0.5147058823529411,0.015418572387858933,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,12,0.5147058823529411,0.011087349451640072,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,13,0.5147058823529411,0.021286878588737224,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,14,0.5147058823529411,0.020003984664000718,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,15,0.5147058823529411,0.02944591217765621,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,16,0.5147058823529411,0.03693088772250157,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,17,0.5490196078431373,0.08935531455219961,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,18,0.6715686274509803,0.2663368233570866,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,19,0.6666666666666666,0.260865146038579,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,20,0.6642156862745098,0.2584509264458628,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,21,0.6862745098039216,0.3556878808520588,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,22,0.7034313725490197,0.37440133898281586,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,23,0.7058823529411765,0.3851920865183952,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,24,0.6985294117647058,0.37153570171372563,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,25,0.6911764705882353,0.3711090184309903,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,26,0.7034313725490197,0.37664466373184147,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,27,0.6813725490196079,0.3533962087011805,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,28,0.696078431372549,0.3758826073916519,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,29,0.6985294117647058,0.36847008019685745,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,30,0.696078431372549,0.3688399806326511,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,age:68 years old,31,0.6936274509803921,0.3549467916874325,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,0,0.4852941176470588,-0.01621407927835689,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,1,0.4852941176470588,-0.005354240682779574,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,2,0.48284313725490197,-0.0006934039879078959,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,3,0.5147058823529411,0.008277197094524609,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,4,0.5147058823529411,0.009669519522610833,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,5,0.5147058823529411,0.015504219514482161,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,6,0.5147058823529411,0.018497771492191388,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,7,0.5147058823529411,0.0170551499023157,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,8,0.5147058823529411,0.020301953542466257,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,9,0.5147058823529411,0.02324873807967878,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,10,0.5147058823529411,0.020780023990892897,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,11,0.5147058823529411,0.015659207076418633,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,12,0.5147058823529411,0.010395924396374646,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,13,0.5147058823529411,0.022008781047428354,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,14,0.5147058823529411,0.01950353194101184,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,15,0.5147058823529411,0.029941558107441545,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,16,0.5147058823529411,0.03677839763900813,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,17,0.5637254901960784,0.0890852130365138,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,18,0.6642156862745098,0.25772160014101103,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,19,0.6568627450980392,0.25090502049116525,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,20,0.6519607843137255,0.251945554041395,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,21,0.6911764705882353,0.3535771345098813,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,22,0.6887254901960784,0.3560309617542753,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,23,0.696078431372549,0.37721484424728974,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,24,0.6936274509803921,0.3752709908374384,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,25,0.6887254901960784,0.3734293691083497,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,26,0.6887254901960784,0.37143467213301096,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,27,0.6862745098039216,0.36324136791860356,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,28,0.6911764705882353,0.36719976935316534,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,29,0.6887254901960784,0.3678516069171475,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,30,0.6911764705882353,0.36301792347255873,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:male,31,0.6911764705882353,0.3519400838835567,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,0,0.4852941176470588,-0.01625155453004089,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,1,0.4852941176470588,-0.005374322992329504,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,2,0.4877450980392157,-0.0006339869955006768,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,3,0.5147058823529411,0.008567747678242478,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,4,0.5147058823529411,0.010526646439935648,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,5,0.5147058823529411,0.015846157483026094,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,6,0.5147058823529411,0.018687855817523656,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,7,0.5147058823529411,0.016905394035811518,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,8,0.5147058823529411,0.020336961775433784,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,9,0.5147058823529411,0.023102630441095316,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,10,0.5147058823529411,0.021347146992589914,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,11,0.5147058823529411,0.016573455622967553,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,12,0.5147058823529411,0.011869008634604659,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,13,0.5147058823529411,0.023170721516305327,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,14,0.5147058823529411,0.02005893634814842,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,15,0.5147058823529411,0.030850248447820253,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,16,0.5147058823529411,0.04267381964360967,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,17,0.571078431372549,0.10092786232046053,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,18,0.696078431372549,0.3010071758546081,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,19,0.6862745098039216,0.29458240843286704,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,20,0.678921568627451,0.2920235239845865,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,21,0.7279411764705882,0.4090400116116393,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,22,0.7058823529411765,0.41556859535037305,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,23,0.7230392156862745,0.4337626051376848,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,24,0.7205882352941176,0.4291469794424141,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,25,0.7181372549019608,0.42859522976419506,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,26,0.7230392156862745,0.4285179120944996,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,27,0.7181372549019608,0.4185500400615673,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,28,0.7058823529411765,0.4217066847372289,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,29,0.7230392156862745,0.4238872459413959,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,30,0.7156862745098039,0.41896643752560897,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,gender:non-binary,31,0.7107843137254902,0.40751363044860317,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,0,0.4852941176470588,-0.01622860791052089,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,1,0.4852941176470588,-0.005385796009909873,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,2,0.4852941176470588,-0.0006067720698375328,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,3,0.5147058823529411,0.008435802351610334,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,4,0.5147058823529411,0.01002973340013448,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,5,0.5147058823529411,0.01567969975226066,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,6,0.5147058823529411,0.018722185609387418,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,7,0.5147058823529411,0.017900141942150453,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,8,0.5147058823529411,0.02061855383947784,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,9,0.5147058823529411,0.023168354496067644,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,10,0.5147058823529411,0.021145421354209677,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,11,0.5147058823529411,0.01581884467718648,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,12,0.5147058823529411,0.010566739840250389,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,13,0.5147058823529411,0.022067597099378996,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,14,0.5147058823529411,0.020330059177735272,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,15,0.5147058823529411,0.029873019486081367,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,16,0.5147058823529411,0.037009537366091035,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,17,0.5661764705882353,0.09141511090245902,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,18,0.6715686274509803,0.2666960748679498,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,19,0.6568627450980392,0.26053575521298483,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,20,0.6617647058823529,0.2600406057694379,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,21,0.696078431372549,0.35921269604096223,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,22,0.6887254901960784,0.3630781093356656,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,23,0.6985294117647058,0.3832296761227589,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,24,0.7009803921568627,0.38199686558515417,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,25,0.7034313725490197,0.381227493943537,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,26,0.6911764705882353,0.37854551626186744,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,27,0.6985294117647058,0.3728034821357213,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,28,0.6838235294117647,0.3725361389418443,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,29,0.7009803921568627,0.37631598757762535,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,30,0.6936274509803921,0.369996722495439,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:White,31,0.6911764705882353,0.3596729606974359,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,0,0.4852941176470588,-0.016208038756660388,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,1,0.4852941176470588,-0.005301930740767834,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,2,0.4877450980392157,-0.0005613062165531458,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,3,0.5147058823529411,0.008464857570680917,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,4,0.5147058823529411,0.009953892479340235,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,5,0.5147058823529411,0.015588000416755676,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,6,0.5147058823529411,0.01865253290709327,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,7,0.5147058823529411,0.017602333251167748,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,8,0.5147058823529411,0.02037887830360263,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,9,0.5147058823529411,0.02306359787197674,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,10,0.5147058823529411,0.02124869136833677,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,11,0.5147058823529411,0.015856406414041332,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,12,0.5147058823529411,0.010931285865166607,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,13,0.5147058823529411,0.022127829784271764,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,14,0.5147058823529411,0.020840300940999798,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,15,0.5147058823529411,0.029878503405580334,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,16,0.5147058823529411,0.038505194014778324,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,17,0.5833333333333334,0.09534022438467718,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,18,0.6764705882352942,0.2723699044801441,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,19,0.6593137254901961,0.2647312605643974,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,20,0.6642156862745098,0.2609618818935226,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,21,0.6862745098039216,0.36052964211386795,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,22,0.6936274509803921,0.36636576859974396,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,23,0.6985294117647058,0.38595558936689417,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,24,0.7034313725490197,0.3824976714802723,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,25,0.7009803921568627,0.38193313025084197,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,26,0.696078431372549,0.3811280241637838,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,27,0.696078431372549,0.37356767679254216,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,28,0.696078431372549,0.3778597199741532,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,29,0.7009803921568627,0.37924860125663235,408,409,shuffle,20,408,1/2,16,17
olmo-7b,TruthfulQA,race:Black,30,0.7009803921568627,0.37245458108829516,408,409,shuffle,20,408,1/2,16,17
